編號,專案,日期,月,日,星期,是否假日,時長,機位數量,工作性質,花絮,視訊切換,視訊連線,PA音控,大場分小場,導播人數,攝影人數,音控人數,直播人數,機動人數,花絮人數,視訊切換人數,視訊連線人數,人數
199,MERZ1,2024/9/1,9,1,7,1,4.5,1,錄製,0,0,0,0,0,0,1,1,0,1,0,0,0,3
200,今周刊1,2024/9/3,9,3,2,0,12.5,3,直播,0,0,0,0,0,1,2,1,1,0,0,0,0,5
201,向夏x觀光局,2024/9/4,9,4,3,0,4.5,0,錄製,0,1,0,1,0,0,0,1,0,1,0,1,0,3
202,Sandra & Jack 婚禮,2024/9/7,9,7,6,1,7.5,4,錄製,0,1,0,0,0,1,3,1,0,1,0,0,0,6
203,拾酷 x yamaha進場,2024/9/7,9,7,6,1,13,3,進場,0,1,0,0,0,1,0,0,0,0,0,1,0,2
204,拾酷 x yamaha,2024/9/8,9,8,7,1,10,3,錄製,0,1,0,0,0,1,2,1,0,0,0,1,0,5
205,住商D1,2024/9/10,9,10,2,0,14.5,2,錄製,1,0,0,0,0,0,1,1,0,0,1,0,0,3
206,住商D2,2024/9/11,9,11,3,0,9,2,錄製,1,0,0,0,0,0,1,1,0,0,1,0,0,3
207,光洋D1,2024/9/10,9,10,2,0,4,1,錄製,0,1,0,0,0,0,0,0,0,1,0,1,0,2
208,光洋D2,2024/9/11,9,11,3,0,9,1,錄製,0,1,0,0,0,0,1,0,0,0,0,1,0,2
209,AWS,2024/9/11,9,11,3,0,9,3,錄製,0,0,0,0,0,1,2,1,0,0,0,0,0,4
